Expression;Human Translation;Google Translate;DeepL;Yandex Translate;Language;Category
This means a lot to me;это много для меня значит;это значит много для меня;это очень важно для меня;это много значит;English;💔 Эмоционалдык сөздөр
I appreciate you;я ценю тебя;я ценю тебя;я очень благодарен тебе;ценю тебя;English;💔 Эмоционалдык сөздөр
I’m emotionally overwhelmed;я эмоционально перегружен;я эмоционально переполнен;мне слишком тяжело эмоционально;эмоционально overwhelmed;English;💔 Эмоционалдык сөздөр
Sensory overload;сенсорная перегрузка;сенсорная перегрузка;слишком много раздражителей;сенсорный overload;English;🧠 Психология
Emotional repression;подавление эмоций;эмоциональное подавление;скрывание эмоций;подавление чувств;English;🧠 Психология
Overthinking spiral;цикл навязчивых мыслей;спираль чрезмерного обдумывания;зацикленность на мыслях;спираль overthinking;English;🧠 Психология
Emotional dependency;эмоциональная зависимость;эмоциональная зависимость;сильная привязанность к человеку;эмоциональная зависимость;English;🧠 Психология
People burnout;усталость от постоянного общения;выгорание от людей;истощение от общения;выгорание от людей;English;🧠 Психология
Childhood trauma;детская психологическая травма;детская травма;травма из детства;травма детства;English;🧠 Психология
Emotional flashback;эмоциональное воспоминание травмы;эмоциональная вспышка воспоминаний;резкое возвращение тяжелых эмоций;эмоциональный флешбек;English;🧠 Психология
Chronic stress;хронический стресс;хронический стресс;постоянное напряжение;хронический стресс;English;🧠 Психология
Emotional sensitivity;повышенная эмоциональность;эмоциональная чувствительность;сильная восприимчивость к эмоциям;эмоциональная чувствительность;English;🧠 Психология
Fear of intimacy;страх близости;страх интимности;страх эмоциональной близости;страх близких отношений;English;🧠 Психология
This is peak comedy;это очень смешно;это пик комедии;это максимально смешно;пик юмора;English;🌍 Интернет сленги
Bro is fighting demons;у него сейчас тяжелый период;бро сражается с демонами;он сильно страдает;борется с демонами;English;🌍 Интернет сленги
That’s wild;это жесть;это дикое;это безумие;это дико;English;🌍 Интернет сленги
You understood the assignment;ты отлично справился;ты понял задание;ты сделал все идеально;понял задачу;English;🌍 Интернет сленги
It’s a canon event;это неизбежный этап;это каноническое событие;это должно было случиться;канон событие;English;🌍 Интернет сленги
Not me doing that;ну и я тоже это сделал;не я делающий это;я тоже так сделал;неужели я это сделал;English;🌍 Интернет сленги
I’m crying screaming throwing up;я в шоке от эмоций;я плачу кричу и меня тошнит;меня переполняют эмоции;плачу и ору;English;🌍 Интернет сленги
This healed my inner child;это порадовало моего внутреннего ребенка;это исцелило моего внутреннего ребенка;это принесло мне детскую радость;исцелило inner child;English;🌍 Интернет сленги
He’s literally me;это буквально я;он буквально я;я очень себя с ним ассоциирую;буквально я;English;🌍 Интернет сленги
That’s so out of pocket;это вообще слишком;это так вне кармана;это уже перебор;это слишком;English;🌍 Интернет сленги
POV: you survived the week;ты пережил эту неделю;точка зрения ты пережил неделю;ты справился с этой неделей;пов ты пережил неделю;English;🌍 Интернет сленги
Mood for today;настроение на сегодня;настроение для сегодня;сегодняшний вайб;настроение дня;English;🌍 Интернет сленги
Mentally I’m here;мысленно я уже там;ментально я здесь;мыслями я в другом месте;ментально здесь;English;🌍 Интернет сленги
I fear this ate;это было слишком круто;боюсь это съело;это получилось идеально;это разнесло;English;🌍 Интернет сленги
We’re so back;мы снова в деле;мы так вернулись;все снова хорошо;мы вернулись;English;🌍 Интернет сленги
It’s over for me;мне конец;это закончилось для меня;для меня все плохо;мне конец;English;🌍 Интернет сленги
This is my villain era;это мой период злодея;это моя эра злодея;я сейчас в темном периоде;эра злодея;English;🌍 Интернет сленги
Main character breakdown;эмоциональный срыв главного героя;срыв главного персонажа;драматичный эмоциональный момент;срыв главного героя;English;🌍 Интернет сленги
I’m just a girl;я всего лишь девушка;я просто девушка;я обычная девушка;я просто girl;English;🌍 Интернет сленги
He gives golden retriever energy;он очень добрый и милый;он дает энергию золотистого ретривера;у него вайб доброго человека;вайб ретривера;English;🌍 Интернет сленги
Story lurking;тихо смотреть сторис;скрытое наблюдение за историями;анонимно смотреть сторис;лукать сторис;English;📱 Социалдык тармактар
Fake account viewing;смотреть с фейкового аккаунта;просмотр с фальшивого аккаунта;следить через фейк;просмотр с фейка;English;📱 Социалдык тармактар
Replying with emojis only;отвечать только эмоджи;отвечать только смайликами;реагировать эмоджи;ответ эмоджи;English;📱 Социалдык тармактар
Story engagement;активность в сторис;вовлеченность историй;реакции на сторис;активность сторис;English;📱 Социалдык тармактар
Viral sound;вирусный звук;вирусный саунд;популярный звук в соцсетях;вирусный трек;English;📱 Социалдык тармактар
Private account;закрытый аккаунт;частный аккаунт;закрытый профиль;приват аккаунт;English;📱 Социалдык тармактар
Social media cleanse;очистка соцсетей;очищение социальных сетей;удаление лишнего из соцсетей;чистка соцсетей;English;📱 Социалдык тармактар
Chronically offline;почти не сидит в интернете;хронически офлайн;редко появляется онлайн;вечно офлайн;English;📱 Социалдык тармактар
Comment stalking;читать все комментарии человека;преследование комментариев;следить через комментарии;сталкинг комментариев;English;📱 Социалдык тармактар
Muted stories;скрытые сторис;заглушенные истории;отключенные истории человека;мут сторис;English;📱 Социалдык тармактар
XP farming;фарм опыта;фарм XP;долгое получение опыта;фарм опыта;English;🎮 Оюн сленги
Teammate diff;разница в уровне игроков команды;разница товарищей по команде;слабая команда;тиммейт diff;English;🎮 Оюн сленги
Broken character;слишком сильный персонаж;сломанный персонаж;несбалансированный герой;имба персонаж;English;🎮 Оюн сленги
Map awareness;понимание карты;осведомленность карты;умение ориентироваться по карте;понимание карты;English;🎮 Оюн сленги
Hard carry;тащить всю команду;жесткий перенос;выигрывать почти в одиночку;тащер;English;🎮 Оюн сленги
Revive teammate;оживить союзника;возродить товарища;поднять союзника;реснуть тиммейта;English;🎮 Оюн сленги
Clutch moment;решающий момент;момент сцепления;момент решающего действия;клатч момент;English;🎮 Оюн сленги
Enemy camping;враг сидит в одной точке;вражеский кемпинг;противник ждет в укрытии;кемперит враг;English;🎮 Оюн сленги
Low HP;мало здоровья;низкое HP;почти нет здоровья;мало хп;English;🎮 Оюн сленги
Ultimate ability;ультимативная способность;ультимативная способность;самая сильная способность персонажа;ульта;English;🎮 Оюн сленги
Machine learning model;модель машинного обучения;модель машинного обучения;ИИ модель обучения;модель ML;English;🤖 NLP терминдери
Data annotation;разметка данных;аннотация данных;подготовка данных для ИИ;разметка датасета;English;🤖 NLP терминдери
Text classification;классификация текста;классификация текста;разделение текста по категориям;классификация текста;English;🤖 NLP терминдери
Language detection;определение языка;обнаружение языка;распознавание языка текста;детекция языка;English;🤖 NLP терминдери
Sentiment analysis;анализ тональности;анализ настроений;анализ эмоций текста;анализ тональности;English;🤖 NLP терминдери
Chatbot response;ответ чат-бота;ответ чатбота;автоматический ответ бота;ответ бота;English;🤖 NLP терминдери
Speech-to-text;преобразование речи в текст;речь в текст;распознавание речи в текст;голос в текст;English;🤖 NLP терминдери
Text summarization;краткое изложение текста;суммаризация текста;автоматическое сокращение текста;саммари текста;English;🤖 NLP терминдери
Language generation;генерация текста;генерация языка;создание текста ИИ;генерация текста;English;🤖 NLP терминдери
AI-powered translation;машинный перевод на основе ИИ;перевод управляемый ИИ;ИИ перевод;AI перевод;English;🤖 NLP терминдери
Жүрөгү элжиреди;растрогался;сердце растаяло;очень растрогался;сердце размякло;Kyrgyz;🗣 Кыргыз сөз айкаштары
Ичи күйсө да сыр бербеди;скрывал боль внутри;хоть внутри горело не показал;не показывал свои переживания;скрыл боль;Kyrgyz;🗣 Кыргыз сөз айкаштары
Башы катты;сильно задумался;голова затвердела;не мог понять ситуацию;голова запуталась;Kyrgyz;🗣 Кыргыз сөз айкаштары
Сөзү өтүмдүү;его слова влиятельны;его слова проходят;к его словам прислушиваются;весомые слова;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жүзү жарык;приятный и добрый человек;лицо светлое;человек с хорошей энергетикой;светлое лицо;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзү күйдү;сильно позавидовал;глаза сгорели;испытал зависть;глаза загорелись;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көңүлү толду;остался довольным;душа наполнилась;получил удовлетворение;душа полна;Kyrgyz;🗣 Кыргыз сөз айкаштары
Ичи тар;завистливый человек;внутри узкий;жадный и завистливый человек;узкая душа;Kyrgyz;🗣 Кыргыз сөз айкаштары
Колу жеңил;удачливый человек / легкая рука;легкая рука;человек которому везет;легкая рука;Kyrgyz;🗣 Кыргыз сөз айкаштары
Сөзү кыска;немногословный человек;слово короткое;человек который мало говорит;короткие слова;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көп окуган көп билет;кто много читает тот много знает;много читающий много знает;знания приходят через чтение;много читающий знает больше;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Эмгек түбү береке;труд приводит к благополучию;конец труда достаток;труд приносит результат;труд приносит достаток;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Сабырдын түбү сары алтын;терпение приводит к хорошему;конец терпения желтое золото;терпение вознаграждается;терпение золото;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жаман сөз жан кейитет;плохие слова ранят душу;плохое слово душу мучает;обидные слова причиняют боль;плохие слова ранят;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Окуу билим булагы;учеба источник знаний;учеба источник знания;образование дает знания;знание через учебу;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Better late than never;лучше поздно чем никогда;лучше поздно чем никогда;лучше сделать поздно чем не сделать;лучше поздно чем никогда;English;📖 Идиомалар
Actions speak louder than words;поступки важнее слов;действия говорят громче слов;дела важнее слов;действия важнее слов;English;📖 Идиомалар
Every cloud has a silver lining;после трудностей приходит хорошее;у каждого облака серебряная подкладка;в любой ситуации есть что-то хорошее;у облака серебро;English;📖 Идиомалар
The ball is in your court;теперь решение за тобой;мяч на твоей стороне;теперь твоя очередь решать;мяч у тебя;English;📖 Идиомалар
Don’t judge a book by its cover;не суди по внешности;не суди книгу по обложке;внешность обманчива;не суди по обложке;English;📖 Идиомалар
Hit rock bottom;оказаться на самом дне;ударить каменное дно;пережить самый тяжелый период;достичь дна;English;📖 Идиомалар
Let the cat out of the bag;выдать секрет;выпустить кота из мешка;случайно раскрыть тайну;выпустить кота;English;📖 Идиомалар
A once in a lifetime opportunity;шанс который бывает раз в жизни;возможность раз в жизни;редкая возможность;шанс всей жизни;English;📖 Идиомалар
Burn the midnight oil;работать допоздна;жечь полуночное масло;работать ночью;работать до ночи;English;📖 Идиомалар
Cut corners;делать кое-как ради экономии;срезать углы;экономить на качестве;халтурить;English;📖 Идиомалар
Easy does it;не спеши;легко делает это;делай спокойно;полегче;English;📖 Идиомалар
Get cold feet;испугаться перед важным решением;получить холодные ноги;струсить;замерзли ноги;English;📖 Идиомалар
In hot water;в неприятностях;в горячей воде;в проблемной ситуации;в горячей воде;English;📖 Идиомалар
Jump on the bandwagon;следовать тренду;прыгнуть на повозку;поддержать популярное направление;запрыгнуть в тренд;English;📖 Идиомалар
The last straw;последняя капля;последняя соломинка;момент после которого терпение закончилось;последняя капля;English;📖 Идиомалар
No pain no gain;без труда нет результата;нет боли нет выгоды;для успеха нужны усилия;без труда нет успеха;English;📖 Идиомалар
Speak of the devil;вспомнишь человека и он появится;говори о дьяволе;только о нем заговорили и он появился;вспомнишь вот и он;English;📖 Идиомалар
Time flies;время летит незаметно;время летит;время проходит быстро;время быстро летит;English;📖 Идиомалар
Through thick and thin;и в радости и в трудностях;через толстое и тонкое;при любых обстоятельствах;через все трудности;English;📖 Идиомалар
Wrap your head around it;понять что-то сложное;обернуть голову вокруг этого;разобраться в чем-то;понять это;English;📖 Идиомалар
You can say that again;еще бы / это точно;ты можешь сказать это снова;полностью согласен;точно сказано;English;📖 Идиомалар
Break a leg;ни пуха ни пера;сломай ногу;удачи перед выступлением;сломай ногу;English;📖 Идиомалар
Costs a pretty penny;очень дорого стоит;стоит красивую монету;стоит больших денег;очень дорого;English;📖 Идиомалар
Hit the road;отправиться в путь;ударить дорогу;поехать куда-то;в путь;English;📖 Идиомалар
On cloud nine;быть очень счастливым;на девятом облаке;быть на седьмом небе от счастья;на облаке счастья;English;📖 Идиомалар
Көп сүйлөгөн көп жаңылат;кто много говорит тот чаще ошибается;много говорящий много ошибается;слишком много слов ведет к ошибкам;много говорящий ошибается;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жаш келсе ишке;старость к мудрости а молодость к делу;молодость приходит к делу;молодые должны быть активными;молодость для дела;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Адам болуу кыйын;быть хорошим человеком сложно;быть человеком трудно;хорошим человеком быть нелегко;трудно быть человеком;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Баланы жашынан үйрөт;воспитывай ребенка с детства;учи ребенка с малого возраста;воспитание начинается с детства;учи ребенка с детства;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Таза болсоң суудай бол;если чист душой будь как вода;если чист будь как вода;будь честным и открытым;будь как чистая вода;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жакшыдан үйрөн жамандан жирен;учись у хороших избегай плохих;учись у хорошего избегай плохого;бери пример с хороших людей;учись хорошему;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Ынтымак бар жерде ырыс бар;где есть согласие там благополучие;где есть согласие там счастье;единство приносит достаток;согласие приносит счастье;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Сөздүн көркү макал;украшение речи это пословица;красота слова пословица;пословицы украшают речь;пословица украшает слово;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Акыл жаштан чыгат;мудрость бывает и у молодых;ум выходит из молодости;молодые тоже могут быть мудрыми;ум приходит от молодых;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Элге кызмат кылган элден сый көрөт;кто служит людям тот получает уважение;служащий народу видит уважение от народа;добрые дела возвращаются уважением;служащий народу уважаем;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Late night thoughts;ночные мысли;поздние ночные мысли;мысли по ночам;ночные размышления;English;💔 Эмоционалдык сөздөр
I miss my old self;я скучаю по прежнему себе;я скучаю по старому себе;мне не хватает себя прежнего;скучаю по старому себе;English;💔 Эмоционалдык сөздөр
I feel emotionally stuck;я будто застрял эмоционально;я чувствую себя эмоционально застрявшим;не могу двигаться дальше эмоционально;эмоционально застрял;English;💔 Эмоционалдык сөздөр
Everything feels heavy;все кажется слишком тяжелым;все ощущается тяжелым;мне очень тяжело морально;все тяжело;English;💔 Эмоционалдык сөздөр
I’m trying not to overthink;я пытаюсь не накручивать себя;я пытаюсь не передумывать;пытаюсь не зацикливаться на мыслях;пытаюсь не overthink;English;💔 Эмоционалдык сөздөр
I just need silence;мне просто нужна тишина;мне просто нужна тишина;мне нужен покой и тишина;нужна тишина;English;💔 Эмоционалдык сөздөр
I’m emotionally confused;я запутался в своих чувствах;я эмоционально запутан;мне сложно понять свои эмоции;эмоционально запутан;English;💔 Эмоционалдык сөздөр
I needed reassurance from you;мне нужна была поддержка от тебя;мне нужно было заверение от тебя;мне важно было услышать поддержку от тебя;нужна была reassurance;English;💔 Эмоционалдык сөздөр
I’m scared of being replaced;я боюсь что меня заменят;я боюсь быть замененным;мне страшно стать ненужным;боюсь замены;English;💔 Эмоционалдык сөздөр
Some wounds stay forever;некоторые раны остаются навсегда;некоторые раны остаются навечно;некоторые переживания не проходят;раны остаются навсегда;English;💔 Эмоционалдык сөздөр
Emotional shutdown mode;режим эмоционального закрытия;режим эмоционального отключения;полностью закрыться эмоционально;эмоциональный shutdown;English;🧠 Психология
Fear of being ignored;страх быть проигнорированным;страх быть игнорируемым;страх остаться без внимания;страх игнора;English;🧠 Психология
Emotional burnout recovery;восстановление после эмоционального выгорания;восстановление эмоционального выгорания;восстановление морального состояния;рекавери после burnout;English;🧠 Психология
People pleasing tendency;склонность всем угождать;тенденция угождать людям;желание нравиться всем;people pleasing;English;🧠 Психология
Emotionally reactive;слишком эмоционально реагирующий;эмоционально реактивный;слишком чувствительно реагирующий;эмоционально реактивный;English;🧠 Психология
Mental exhaustion;моральное истощение;умственное истощение;сильная усталость психики;ментальное истощение;English;🧠 Психология
Overanalyzing conversations;слишком много анализировать общение;чрезмерный анализ разговоров;зацикливаться на диалогах;анализировать переписки;English;🧠 Психология
Emotionally unavailable friendship;эмоционально холодная дружба;эмоционально недоступная дружба;дружба без эмоциональной близости;холодная дружба;English;🧠 Психология
I need emotional clarity;мне нужна ясность в чувствах;мне нужна эмоциональная ясность;мне важно понять свои эмоции;эмоциональная ясность;English;🧠 Психология
Avoiding emotional attachment;избегать эмоциональной привязанности;избегание эмоциональной привязанности;бояться сильной привязанности;избегать привязанности;English;🧠 Психология
I’m emotionally unavailable right now;сейчас я эмоционально закрыт;я сейчас эмоционально недоступен;сейчас мне сложно открываться людям;эмоционально недоступен сейчас;English;💔 Эмоционалдык сөздөр
I feel mentally drained;я морально вымотан;я ментально истощен;я очень устал психологически;ментально без сил;English;💔 Эмоционалдык сөздөр
I don’t know how to explain it;я не знаю как это объяснить;я не знаю как объяснить это;мне сложно подобрать слова;не знаю как объяснить;English;💔 Эмоционалдык сөздөр
I’m trying to stay strong;я стараюсь держаться;я пытаюсь оставаться сильным;пытаюсь не сдаваться;пытаюсь быть сильным;English;💔 Эмоционалдык сөздөр
It ruined my mood;это испортило мне настроение;это разрушило мое настроение;мне стало грустно из-за этого;испортило настроение;English;💔 Эмоционалдык сөздөр
I’m emotionally attached to memories;я сильно привязан к воспоминаниям;я эмоционально привязан к воспоминаниям;мне тяжело отпустить прошлое;привязан к воспоминаниям;English;💔 Эмоционалдык сөздөр
I need time to heal;мне нужно время чтобы восстановиться;мне нужно время чтобы исцелиться;мне нужно время прийти в себя;нужно время на healing;English;💔 Эмоционалдык сөздөр
I feel emotionally distant from everyone;я чувствую себя отдаленно от всех;я чувствую эмоциональную дистанцию со всеми;мне сложно чувствовать близость с людьми;эмоционально далеко от всех;English;💔 Эмоционалдык сөздөр
I just want to feel okay again;я просто хочу снова почувствовать себя нормально;я просто хочу снова чувствовать себя хорошо;хочу снова почувствовать спокойствие;хочу снова быть в порядке;English;💔 Эмоционалдык сөздөр
I’m emotionally sensitive lately;в последнее время я слишком чувствителен;я эмоционально чувствителен в последнее время;в последнее время меня легко задеть;слишком чувствительный сейчас;English;💔 Эмоционалдык сөздөр
Чокой;традиционная обувь;обувь;traditional shoes;ботинки;Kyrgyz;Диалект Жана Регионализмдер
Ава;брат;ава;brother;брат;Kyrgyz;Диалект Жана Регионализмдер
Оля;эй ты;оля;hey you;эй;Kyrgyz;Диалект Жана Регионализмдер
Капырай;ничего себе;капирай;wow;вот это да;Kyrgyz;Диалект Жана Регионализмдер
Ии кокуй;ой ужас;ой кошмар;oh no;ужас;Kyrgyz;Диалект Жана Регионализмдер
Кагылайын;дорогой мой;коснусь тебя;my dear;дорогой;Kyrgyz;Диалект Жана Регионализмдер
Кой ай;ну хватит;оставь это;come on now;перестань;Kyrgyz;Диалект Жана Регионализмдер
Жоок;нет;жок;nope;нет;Kyrgyz;Диалект Жана Регионализмдер
Энеңди урайын;черт возьми;ударю твою мать;damn it;черт;Kyrgyz;Диалект Жана Регионализмдер
Баса;кстати;дави;by the way;кстати;Kyrgyz;Диалект Жана Регионализмдер
Ну да конечно;sure yeah;да конечно;yeah sure;конечно;Russian;Сарказм Жана Юмор
Очень смешно;very funny;очень смешно;so funny;очень смешно;Russian;Сарказм Жана Юмор
Молодец вообще;great job then;молодец вообще;nice one then;ну молодец;Russian;Сарказм Жана Юмор
Skill issue;сам виноват;проблема навыка;skill problem;проблема скилла;English;Сарказм Жана Юмор
Yeah right;ну конечно;да правильно;sure yeah;ага конечно;English;Сарказм Жана Юмор
Be serious;будь серьезен;будь серьезным;be for real;серьезно?;English;Сарказм Жана Юмор
Ооба да;ага конечно;да да;yeah sure;ну да;Kyrgyz;Сарказм Жана Юмор
Иий мейли;ну ладно тогда;ладно;sure then;ну хорошо;Kyrgyz;Сарказм Жана Юмор
Winter is coming;зима близко;зима приходит;winter is near;зима приближается;English;Кино Жана Сериал Репликалары
I am vengeance;я возмездие;я месть;i am revenge;я месть;English;Кино Жана Сериал Репликалары
You shall not pass;ты не пройдешь;ты не пройдешь;you cannot pass;не пройдешь;English;Кино Жана Сериал Репликалары
May the force be with you;да пребудет с тобой сила;пусть сила будет с тобой;may the force stay with you;да пребудет сила;English;Кино Жана Сериал Репликалары
Өч алам;я отомщу;я возьму месть;i will get revenge;отомщу;Kyrgyz;Кино Жана Сериал Репликалары
Prompt engineering;создание AI запросов;инженерия подсказок;prompt design;промпт инженерия;English;AI Жана Технология
Fine tuning;тонкая настройка;тонкая настройка;model tuning;файн тюнинг;English;AI Жана Технология
Machine learning;машинное обучение;машинное обучение;machine learning;машинное обучение;English;AI Жана Технология
Neural network;нейросеть;нейронная сеть;neural net;нейросеть;English;AI Жана Технология
Жасалма интеллект;искусственный интеллект;искусственный интеллект;artificial intelligence;AI;Kyrgyz;AI Жана Технология
Нейросеть;neural network;нейросеть;neural net;нейронная сеть;Russian;AI Жана Технология
